company_size,contract_value,tenure_months,support_tickets,usage_score,nps_score,industry,discount_offered,churned,true_treatment_effect
115,69.27269606689026,23,2,35.24583963108832,26.485645582711193,Technology,0,0,-1.3581564390274272
44,33.471654687857736,13,1,70.50053939051828,52.325392687455384,Technology,0,0,-2.509991464595174
144,100.03048440306293,60,3,72.63059896645832,62.740581610293916,Healthcare,0,0,-0.28536935745306524
536,273.0350754556148,5,5,48.48168698433496,22.449147043842977,Finance,0,0,-11.825189953805905
38,27.871193418315652,52,5,77.82134726161503,61.775385714602336,Technology,0,0,-2.551983441667031
38,33.905482393345025,4,5,29.635177212947273,13.923616121503047,Retail,0,1,-3.4166592988985025
583,338.48775263524203,9,3,52.85096889307871,26.942613129641366,Finance,1,0,-15.124849406032082
172,114.04360882458163,4,4,53.69565708578898,50.78629641467301,Retail,0,0,-0.33515305782472604
26,30.675377667940356,13,4,77.99539524091752,39.94737662448995,Technology,0,0,-3.128067034594905
123,72.39438191868844,17,3,83.60105572814474,39.722105890359344,Technology,0,0,-0.6391125955956778
27,72.87609434766188,11,2,66.43697697372414,36.79286913570059,Manufacturing,0,0,-3.2341872771771536
27,29.4302028134609,27,1,81.03849299519082,18.52354981825544,Finance,0,0,-3.234326671502048
78,47.8637044768685,17,1,42.08874515226964,26.685545836324025,Retail,0,0,-2.054028181786711
10,71.73474492687178,2,2,40.46788719572127,24.250797181761918,Technology,0,0,-4.211314750588692
10,10.269495137747086,8,0,81.67756571852743,70.8771007272675,Technology,0,0,-3.426207536996586
23,50.93922302626404,15,6,91.04426537421642,49.422351905263234,Retail,0,0,-3.0270785310157304
11,22.354679621489016,42,2,88.59676843016675,61.44967853797034,Finance,0,0,-3.3945348873945695
87,71.49711430567956,22,3,83.56021701847457,52.69180743234714,Manufacturing,0,0,-1.2197633703564772
13,31.12898892217813,13,1,76.50890517722829,75.44925655503849,Technology,0,0,-3.3282168957874094
10,32.71952925480683,5,0,67.53546529868272,48.76290166794156,Technology,0,1,-3.7445421336696403
491,316.1256923927609,22,5,82.51031011788868,25.310398648527144,Healthcare,0,0,-8.640513709632895
38,82.78469675137936,49,2,94.78234054051752,77.3503128733535,Retail,0,0,-2.2577740916079962
60,39.28023060367121,15,4,78.24434180609407,28.74278564187334,Retail,0,0,-2.147614296804073
10,28.975954818288,9,0,94.49382848925072,36.99305215062105,Technology,0,0,-3.5691172979025247
